jobnumber particle tstart xstart ystart zstart vxstart vystart vzstart polstart Sxstart Systart Szstart Hstart Estart Bstart Ustart solidstart tend xend yend zend vxend vyend vzend polend Sxend Syend Szend Hend Eend Bend Uend solidend stopID Nspinflip spinflipprob Nhit Nstep trajlength Hmax wL
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 0 0 0 0 1 0 0 0
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 1 0.866608587100178 0.00857911573622238 0.207938683260045 1.67854476592307 -0.578744049899759 -4.76930597661587 -1 -0.0791726246469557 0.0871640296535094 -0.993042862828611 1.56691358338136e-07 1.35373659487093e-07 9.98420515898152e-07 0 1 0 0 0 90 236 5.07546114204086 1.56691376677233e-07 903.909189142103
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 2 0.253496357892011 -0.00730895455788151 0.202103646180264 2.65497841388129 4.1830537436586 1.21092167861522 -1 -0.240093511210561 0.186033310862014 -0.952757426141505 1.56691354391766e-07 1.35971860475945e-07 1.0009687816906e-06 0 1 0 0 0 173 333 10.1517764293802 1.56691376677233e-07 542.896482811282
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 3 -0.0942054482146448 0.12194857300965 0.0414194837840584 -1.41960718672317 4.24890855082603 -3.01599383965053 -1 0.185480870512108 -0.235019134435762 -0.954129369128846 1.56691355876473e-07 1.52445113621461e-07 1.00097462497052e-06 0 1 0 0 0 220 380 15.3540949623207 1.56691376677233e-07 424.814581845824
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 4 0.00582324672197637 0.118769664461409 0.0364968540219371 -1.73170393167204 -5.12424232027714 -0.0679598337704972 -1 0.0537392729628858 0.294530794700526 -0.954129813700155 1.56691356450758e-07 1.52949779482686e-07 1.00097666145403e-06 0 1 0 0 0 255 415 20.7273025798293 1.56691376677233e-07 363.741058189524
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 5 0.474027421583499 -0.00768224924765544 0.234426540110113 0.289331319492983 -0.769750493123125 4.97021057882373 -1 0.0906901815299568 -0.285158299509256 -0.954180294828253 1.5669135405838e-07 1.32658134887982e-07 1.00088188652219e-06 0 1 0 0 0 308 468 25.9355064028428 1.56691376677233e-07 327.120180409025
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 6 -0.0697993568103746 0.199673615438336 0.115554893776167 1.3818737189554 4.40144431405198 2.53542882099851 -1 -0.250847820837438 0.163060666713738 -0.954194209562785 1.56691351116123e-07 1.44844787538053e-07 1.00097603401274e-06 0 1 0 0 0 391 551 31.1838184306067 1.56691376677233e-07 303.526728766683
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 7 -0.181176455062781 0.0716230263824609 0.121343200884189 2.70400699506848 4.06164641482775 1.94641546350122 -1 0.0989066844087299 -0.282371939652663 -0.954192619575883 1.56691351417827e-07 1.44251373788669e-07 1.00096831884796e-06 0 1 0 0 0 426 586 36.5085244766419 1.56691376677233e-07 286.190673668072
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 8 0.18205226970767 0.122614134402397 0.0771910198109808 -5.2091241333528 0.241730590987865 1.12681866937517 -1 -0.298683332688428 -0.0176260281969945 -0.954189493573806 1.56691349697501e-07 1.48777829308049e-07 1.00096908067788e-06 0 1 0 0 0 462 622 41.8360573418801 1.56691376677233e-07 273.108653009646
3 1 0 1.92138143213255 0.0038740660883475 0.240494992903448 -0.589457764195738 4.56925918573062 -2.00870449173993 -1 -0.108654026412763 -0.000502329503638706 -0.994079498938271 1.56691363875968e-07 1.32037487289668e-07 2.54921962788903e-05 0 4 9 0.107126079962101 0.0817417620152361 0.111149366945473 -2.71854744036803 4.45004581203075 0.77697169705132 -1 -0.177064070488549 -0.241212989367203 -0.954182691318354 1.5669134945493e-07 1.45296438056244e-07 1.00097187036188e-06 0 1 0 0 0 484 644 47.1512316451984 1.56691376677233e-07 263.457582811016
