jobnumber particle tstart xstart ystart zstart vxstart vystart vzstart polstart Sxstart Systart Szstart Hstart Estart Bstart Ustart solidstart tend xend yend zend vxend vyend vzend polend Sxend Syend Szend Hend Eend Bend Uend solidend stopID Nspinflip spinflipprob Nhit Nstep trajlength Hmax wL
1 1 0 1.92027721994988 -0.0220418303618472 0.20817872513147 1.84951813737234 4.2982187446321 -0.287318334202365 -1 0.0257627514925266 0.00799323433777387 -0.999636128218841 1.36220386724673e-07 1.14879580148798e-07 2.58913347206714e-05 0 4 10.0925413908708 0.529769501856687 -0.287192199834589 0.207402842717161 3.3137798248799 -3.29557600015566 -0.388476196228151 -1 -0.943964243393503 0.272807146623132 0.185762660856792 1.36220322320938e-07 1.1495755768143e-07 1.00065513787931e-06 0 1 -2 0 0 724 2546 47.4034222302056 1.36220402749988e-07 745.026126903337
1 2 0 1.92187454570969 -0.0199103220597491 0.222084929213201 -0.766865660678208 -3.01022042312373 -4.17826755646864 -1 -0.0296626902731002 -0.00980951816786338 -0.999511829924527 1.64458030049449e-07 1.41691542758288e-07 2.54876299932292e-05 0 4 10.1754342863251 0.48836775291336 -0.297496251104447 0.127368892905141 -4.91132219921782 -1.80282282984842 -1.26236899909623 -1 0.12949360633467 0.164560479214311 -0.977829869737648 1.64457978636483e-07 1.51400250381798e-07 1.00089164158855e-06 0 1 -2 0 0 635 1206 54.5570262435432 1.64458030233713e-07 487.041139456394
1 3 0 1.92413227772042 0.031052139562331 0.217974781302019 2.41589717297139 1.26492342190529 4.07801467074768 -1 -0.0136651285320354 -0.00915590119059659 -0.999864707715794 1.48143154963049e-07 1.2579802722709e-07 2.53128497795475e-05 0 4 20 0.000310718645237461 -0.144182782135759 0.0827973555105595 -2.317071256783 3.7925090938731 -2.63928825936494 -1 0.138465085123108 -0.0441452209042657 -0.989382948202318 1.48143144406204e-07 1.39654865574878e-07 1.00097519875771e-06 0 1 -1 0 0 1018 2169 101.351249160936 1.48143188608139e-07 473.846451813155
1 4 0 1.91720001131338 0.0271911467537014 0.207672230129758 -0.703990410794396 -0.423196469908117 4.8180862067699 -1 0.0280105740783736 0.00923581378501597 -0.999564959111477 1.46155721649929e-07 1.2486687434692e-07 2.64498830152333e-05 0 4 20 -0.0207545677677011 -0.225767661012734 0.0780196767529442 0.00161599089756017 -3.29338852317931 -3.94776624228705 -1 0.0513738724048261 -0.0466814717439475 -0.99758787345378 1.46155698801417e-07 1.38157224959936e-07 1.00097560244416e-06 0 1 -1 0 0 831 950 102.492338873316 1.46155723605816e-07 213.685835804762
1 5 0 1.9197572948772 0.0145134977478791 0.239492980674045 0.779669261949351 -3.65536656290741 3.36525088578898 -1 -0.106760451426478 -0.0185980632115054 -0.994110817794473 1.5676650156195e-07 1.32215304269154e-07 2.47220243633798e-05 0 4 10.0842457538097 1.61940254060918 0.336841153022027 0.0655761345722271 -2.15027639349137 4.26164397645462 -2.43310616954609 -1 0 0 0 1.56766518014919e-07 1.50043688884661e-07 0 0 1 -2 0 0 512 1314 52.2077956363017 1.56766518014919e-07 0
1 6 0 1.92374459731202 -0.000809283705099771 0.22494271274449 -0.201494667133708 0.621984731765131 -4.96033403654499 -1 -0.0412415671361812 -3.2401161809007e-05 -0.999149204118342 1.53904643484817e-07 1.30845174833891e-07 2.54383972838759e-05 0 4 10.0912821892374 0.856716494673444 -0.317214958456296 0.216272959193068 3.83175064247295 -3.2367930310028 -0.207363321122525 -1 0 0 0 1.53904715717804e-07 1.31732531284627e-07 0 0 1 -2 0 0 661 1444 51.3593159635477 1.53904715717804e-07 0
1 7 0 1.91933624266262 0.00191012648371831 0.183083296761254 -0.701259568186847 2.2551236588912 -4.46979432168658 -1 0.138972480985979 -0.000469011290890491 -0.990296132253888 1.52352358889529e-07 1.33584299727334e-07 2.55256316385419e-05 0 4 10.0172985532643 1.28697046965396 -0.0305406287613089 0.259198335544927 1.0324150859278 -1.76008433075509 4.46088371831878 -1 -0.167580628303201 0.247985029902115 -0.954159398213392 1.52352342837877e-07 1.25779561363917e-07 1.47337337961959e-06 0 1 -2 0 0 580 1053 51.1394213838406 1.52352365770584e-07 357.077475903676
1 8 0 1.92465785375026 0.0158612838139463 0.211164938175537 -3.0782399295451 3.25812808936153 -1.39089267848927 -1 0.0132764809503248 0.00362235406690074 -0.999905302318469 1.36775311938358e-07 1.15128327588872e-07 2.53464597271282e-05 0 4 20 0.0319140135690163 0.201477365156274 0.0471167844175237 4.20234819931992 2.20279507092091 1.65249800053967 -1 -0.0584814508968215 0.0860355640275172 -0.994574180928905 1.3677530794814e-07 1.31944981576097e-07 1.00097527271573e-06 0 1 -1 0 0 805 924 98.570886055255 1.36775323592674e-07 198.964631604393
1 9 0 1.91575804363164 0.0128012461183876 0.182800094299838 1.76222748730859 3.01297669647752 -3.3736881437642 -1 0.147961545890534 -0.00328448641893374 -0.988987660735283 1.41915498735181e-07 1.23176416734614e-07 2.4587137810364e-05 0 4 10.0933812699934 -0.203442262496423 -0.384202343521121 0.223005622934623 -2.00791953317721 -4.28343586964662 0.629952198486115 -1 0 0 0 1.41915521024184e-07 1.19053107619427e-07 0 0 1 -2 0 0 618 1811 48.7616372366547 1.41915521024184e-07 0
1 10 0 1.9177162564926 0.0130021454575627 0.206252595079646 1.27214803359479 -0.959416934683277 5.02250745811429 -1 0.0361192691972176 0.00810900843580711 -0.999314586291448 1.66269081543708e-07 1.45125669225654e-07 2.470521466029e-05 0 4 20 0.0151761784052569 0.142651421795474 0.106475962994323 0.769452665793261 5.3796369199191 0.434212084885487 -1 0.883954477092621 -0.212624434333338 -0.416431660880275 1.66269043711315e-07 1.55353247106986e-07 1.00097441329295e-06 0 1 -1 0 0 1089 2282 108.454318515898 1.66269100533397e-07 491.113809516164
