jobnumber particle t x y z Sx Sy Sz Wx Wy Wz Bx By Bz
5 1 0 1.92289930460197 -0.0237003123524291 0.204696595343636 0.0370714191315096 0.0110641386380879 -0.999251367134303 -180.972352042507 -54.0120459256241 4878.06710475456 -9.87585986887095e-07 -2.94749662460703e-07 2.66201475605454e-05
5 1 1.00000907951852 1.19014634545143 -0.019654076979523 0.214881000257498 -0.106471364862529 -0.0740853221313311 -0.991551921680493 12.3694795460776 1.50706956511729 246.76341811247 6.75016074384857e-08 8.22424401835859e-09 1.34661505502783e-06
5 1 2.00000310449791 1.81699634020353 -0.000323374404900302 0.203609484491923 -0.609272650183063 0.0637424744072725 -0.790394669683196 -179.719787952985 0.00623623827991133 2507.86086677333 -9.8075060718114e-07 3.4031836722774e-11 1.36856719887584e-05
5 1 3.00003698611541 -0.0211889638879224 0.0157007780790076 0.114952041545812 0.365016167965602 0.755428204435995 -0.544142834230205 8.67798198332002e-05 0.000240016807572897 183.425045004821 4.73567000900684e-13 1.30979806084247e-12 1.00097060156652e-06
5 1 4.00004545673416 0.0196156570206782 -0.228179391142588 0.0715007593391451 -0.58079228679713 0.60547019045005 -0.544138003588448 5.12754475970222e-05 0.000892692519477426 183.425945886738 2.79815745046077e-13 4.87152105211866e-12 1.00097551777801e-06
5 1 5.00005225646311 0.0377282815293835 0.118481742606925 0.108303907840071 -0.769984627684869 -0.33324410600607 -0.544125020298738 0.000113733892905722 0.00140926917818582 183.425655687324 6.20658335934242e-13 7.69053657327283e-12 1.00097393412796e-06
5 1 6.00001217425205 -0.22299713051156 0.0930560776824047 0.101092277613987 0.0362944978719458 -0.838205559786795 -0.544145336871119 -0.000744121655574395 0.000918502481751496 183.424142511646 -4.060753542128e-12 5.01236884905627e-12 1.00096567656221e-06
5 1 7.00001349004527 -0.0602185006713246 -0.0889544185116184 0.105569632878055 0.79789033570764 -0.259398803326968 -0.544135343078734 0.000226183849329685 0.00111521747682895 183.42557876964 1.23431008955316e-12 6.0858641666485e-12 1.00097351437971e-06
5 1 8.00002509191954 -0.026198689106211 0.128847696876025 0.0962606397014194 0.520973807346639 0.657630340445184 -0.544158640336914 0.000104051499862092 0.00131541372381804 183.425793601359 5.6782045446209e-13 7.17835705806807e-12 1.00097468673998e-06
5 1 9.00001145331901 -0.102076487753312 0.000420469159429216 0.120000916373639 -0.431718594961688 0.719384464653436 -0.544155350195498 0.000287080372007936 5.69457815738901e-07 183.424822620178 1.56662909713087e-12 3.10759380782044e-15 1.00096938798912e-06
5 1 10.0000621370442 0.171563199496975 0.0572277683338002 0.0806657488071391 -0.82359745579883 -0.159960630543791 -0.544150554297898 -7.56044614457667e-05 0.00051630264829387 183.424797981165 -4.12581843687687e-13 2.81752021612994e-12 1.00096925353132e-06
5 1 11.0000269693437 0.0674251125152856 0.160932817867345 0.0543309873801955 -0.144021876575219 -0.826525404246552 -0.544163076077667 7.16999935578043e-05 0.000794273063493617 183.425925479479 3.9127473402046e-13 4.33443527926577e-12 1.00097540641336e-06
5 1 12.000018424753 -0.0827851324724606 0.121885445287379 0.127343575045298 0.72303340263855 -0.425570929392511 -0.544161814892003 0.000245191530620731 0.00170894109778033 183.425500546978 1.33803709250692e-12 9.32587912763466e-12 1.00097308751006e-06
5 1 13.0000476267174 0.230527841159142 -0.0692826077999982 0.121141443288221 0.649057598653865 0.531597930776795 -0.544176323982716 -0.00124818315063551 0.000734003815263039 183.423967224039 -6.81147244158482e-12 4.00553937711461e-12 1.00096471999851e-06
